salário (kR$);gênero
8.632287765;mulher
9.246297462;homem
3.742569083;mulher
9.142729952;homem
9.357105605;homem
7.861653942;homem
7.182907118;mulher
12.26816438;homem
8.157838955;mulher
7.875410598;homem
7.810987932;mulher
8.283093298;mulher
10.28584376;homem
6.083422255;mulher
10.60190814;homem
3.650338669;mulher
5.233168244;mulher
4.151954798;homem
9.32065331;homem
6.782944156;mulher
9.903429776;homem
6.763237713;mulher
6.693664168;mulher
8.833289588;homem
4.592902078;homem
9.611958458;mulher
5.305226161;mulher
8.397709155;homem
11.63801778;homem
10.57379954;mulher
5.566258545;mulher
11.17970083;homem
10.78443985;homem
4.373657415;mulher
5.946802589;mulher
2.548734252;mulher
6.2226305;mulher
5.357586254;mulher
5.332446027;mulher
9.068427558;mulher
7.132359203;homem
4.239004345;mulher
9.285197148;homem
11.28894788;homem
4.346012497;mulher
3.612564997;mulher
11.08822034;homem
10.71589159;homem
8.312254825;homem
4.109925135;homem
12.21986475;homem
6.621081388;homem
7.865621518;mulher
10.83018522;homem
4.814605659;homem
8.171558804;mulher
4.757660714;mulher
8.249018831;homem
6.925466128;mulher
7.037745764;mulher
11.98329608;homem
10.44000569;homem
6.758316613;homem
3.784334565;mulher
9.28381267;homem
6.590670739;mulher
1.578505716;mulher
9.90148437;homem
8.390165117;homem
9.832480524;homem
2.867456828;mulher
7.29908117;homem
8.198426328;mulher
5.423499757;mulher
4.443866827;mulher
9.855096948;homem
5.099666046;mulher
7.425930072;homem
9.942077381;homem
9.88799053;homem
7.027783045;mulher
8.596152204;homem
3.663142205;mulher
9.965960398;homem
11.14358223;homem
7.663783134;homem
8.387543272;homem
5.386883184;mulher
5.444113646;mulher
8.815837986;homem
4.293166794;mulher
9.916776914;homem
6.716159704;mulher
11.66352889;homem
11.71721803;homem
6.098202318;mulher
10.83091657;homem
6.890657297;mulher
4.18418635;mulher
8.821489812;homem
6.276066989;homem
7.660061889;homem
9.710335824;homem
6.734613903;mulher
7.197450047;homem
8.997209576;homem
8.265920101;homem
6.953528246;mulher
3.11367368;mulher
11.36349611;homem
8.195636914;homem
4.644024645;mulher
6.519834981;homem
7.210729994;homem
9.51468379;homem
11.48527044;homem
3.717355844;mulher
12.99102683;homem
6.931227315;homem
8.366072693;homem
6.958297075;homem
6.993657924;mulher
9.546959207;homem
9.745736583;homem
11.11820991;homem
10.83652586;homem
10.50830885;mulher
5.145843834;mulher
7.420111319;homem
5.878908141;mulher
10.28119231;homem
8.672023059;homem
6.980415509;homem
5.496137787;homem
8.617208599;homem
8.089456178;mulher
7.826379139;mulher
6.209667534;mulher
5.37822266;homem
8.038629764;mulher
9.326476107;homem
12.88653335;homem
7.364071193;homem
7.000486108;homem
11.56176951;homem
4.487081522;mulher
5.911836642;mulher
10.7274148;homem
9.552118851;homem
5.708142943;mulher
3.737398229;mulher
7.870241667;mulher
2.605384852;mulher
6.601601377;mulher
8.809549759;mulher
6.511670804;mulher
2.398859447;mulher
9.870834806;homem
8.878513737;mulher
10.14187796;homem
7.029156624;homem
11.51712946;homem
5.733013404;mulher
8.585466187;homem
10.24616091;homem
6.737628565;homem
5.157778233;homem
4.726270915;mulher
7.491823646;homem
5.781068621;homem
9.489091542;homem
0.892841253;mulher
1.920534706;mulher
6.014936395;mulher
5.064187302;homem
7.209472344;mulher
7.52012008;homem
7.553679127;homem
8.028294694;homem
3.850246917;mulher
10.12157025;homem
8.394484943;homem
2.905575659;mulher
4.353792014;homem
3.028467745;mulher
6.396816461;homem
6.187472057;mulher
8.345259133;homem
6.303565353;mulher
9.561592522;homem
6.595311576;mulher
3.942397185;mulher
5.20579572;mulher
4.412307541;homem
11.83492768;homem
6.194797678;mulher
4.589704893;mulher
7.025912836;mulher
8.75600732;homem
4.401655312;mulher
5.03044134;mulher
6.220535331;mulher
6.73127565;homem
13.39778182;homem
6.811645688;mulher
9.537225873;homem
9.685273294;homem
8.409896285;homem
5.892247053;mulher
11.55682275;homem
7.373100106;homem
7.231549892;mulher
2.209009195;mulher
9.433911898;homem
7.729989737;homem
6.748945588;homem
10.44406454;homem
6.321845554;mulher
7.094202809;mulher
3.86369585;mulher
5.957302874;homem
3.90606492;mulher
5.124565289;homem
8.071488805;homem
12.63745404;homem
5.82190806;mulher
8.389971222;homem
14.65557207;homem
10.36113669;homem
8.516983009;homem
8.43141681;homem
6.067219285;mulher
7.246467931;homem
7.155248702;homem
8.523517882;mulher
8.104801274;mulher
6.760140153;mulher
4.417215579;mulher
5.629130712;mulher
4.6062433;mulher
4.680868306;mulher
10.24296866;homem
10.0343266;homem
5.132153597;mulher
7.884617936;homem
7.920476161;homem
8.649617796;mulher
5.669588378;mulher
7.105854104;homem
8.942659225;mulher
9.220027081;homem
5.958492175;mulher
10.59849661;homem
6.240466342;mulher
10.80010845;homem
12.46369109;mulher
7.507918484;mulher
6.453374549;homem
8.229481456;homem
4.453922045;mulher
9.84317914;homem
8.911788516;homem
9.765310791;mulher
12.33036074;homem
9.154094659;homem
6.042733273;mulher
5.870967429;homem
10.32210449;homem
6.18672337;mulher
9.650590604;homem
10.10410837;homem
6.486956614;homem
5.90907366;mulher
5.693092457;mulher
4.790308892;mulher
8.07731988;mulher
3.104483869;mulher
7.816131349;homem
10.20571876;homem
7.17209718;mulher
7.943401999;homem
8.067198297;homem
4.545164665;homem
8.362698896;homem
7.325694114;homem
10.29073774;homem
6.392233202;mulher
2.64112768;mulher
4.875871525;mulher
5.834060048;mulher
9.410062307;homem
8.879457782;homem
10.65780411;homem
8.339584622;homem
7.81954113;homem
11.526625;homem
3.273808905;mulher
8.623092264;homem
8.29594394;homem
6.826721755;mulher
8.890817353;homem
5.803936405;mulher
5.686751096;mulher
8.465321253;homem
6.875615747;mulher
11.21974523;mulher
11.06598717;mulher
5.50825734;homem
9.000288448;homem
7.017395601;homem
2.266922912;mulher
10.17783716;mulher
6.750984021;mulher
7.758467969;mulher
9.059526366;homem
11.59105606;homem
7.949180696;homem
7.685070938;homem
3.501086005;mulher
6.741808001;mulher
9.309957592;mulher
8.720419382;mulher
8.329652498;homem
6.416107419;mulher
8.357902973;homem
7.402927675;mulher
3.480063083;mulher
6.051051536;mulher
4.742329279;mulher
3.014355468;mulher
5.480053504;mulher
9.445231099;homem
3.061255518;mulher
9.009531728;homem
10.37198921;homem
9.159244324;homem
6.739655988;mulher
1.705714966;mulher
9.05600095;mulher
3.958615787;mulher
3.855626747;mulher
5.971688984;homem
6.979950043;homem
3.552058047;homem
10.76385271;homem
5.275030503;mulher
11.12970162;mulher
7.310554591;mulher
5.291829545;homem
7.786364774;homem
10.65366533;mulher
5.296431745;mulher
7.9862569;homem
12.02748879;homem
7.643233299;homem
5.289084912;mulher
9.434399078;homem
6.379683755;homem
9.318864547;homem
7.971567182;homem
10.16031079;homem
6.252380317;mulher
4.701732492;mulher
4.706107193;mulher
6.309688442;mulher
7.889708342;mulher
9.07653191;homem
5.504904424;mulher
6.163092455;mulher
11.9902077;homem
10.68539788;homem
8.713142655;homem
4.689527996;mulher
9.360017583;mulher
12.65727977;homem
6.121389861;mulher
9.214797223;mulher
6.649588693;mulher
7.564108205;mulher
8.450206791;homem
11.19317471;homem
4.984564514;mulher
5.548484148;mulher
11.7020303;homem
6.795815863;mulher
8.194111259;homem
6.211325201;homem
8.737479846;mulher
6.780615533;mulher
9.852093423;homem
9.887953335;homem
5.430465789;mulher
9.931757391;homem
7.707129651;homem
8.499499942;mulher
6.923656782;homem
7.842134606;mulher
5.423966255;homem
5.240983847;homem
5.418555731;mulher
10.84124792;homem
7.571789508;homem
10.21968173;homem
7.738844673;homem
9.101586163;homem
9.446982518;mulher
4.569132452;mulher
9.387417756;homem
3.630215663;mulher
6.343735162;homem
8.045468137;mulher
7.303860965;homem
6.556972316;mulher
4.718871868;mulher
8.13123996;homem
8.498760792;mulher
7.380422866;homem
6.22887536;homem
4.669969668;mulher
5.796165197;mulher
7.261596666;homem
3.720500248;mulher
8.944317768;homem
9.742685579;homem
9.492522561;mulher
4.688245725;mulher
2.93464754;mulher
6.280181928;mulher
13.80296561;homem
5.773706773;mulher
2.371277486;mulher
6.714284845;mulher
7.080838707;homem
6.090920069;mulher
7.293858489;homem
8.069854963;homem
6.751296355;homem
6.359104023;homem
11.57128651;homem
8.034338075;homem
9.912901824;homem
3.133011372;mulher
8.621128677;homem
2.330911732;mulher
11.65695788;homem
5.826007467;homem
4.467368391;mulher
5.699078075;mulher
3.983745013;mulher
5.889144379;mulher
7.499647764;mulher
8.59227773;mulher
7.182154645;homem
10.01753268;homem
7.35560609;homem
10.45621055;homem
8.055046272;homem
8.174842427;mulher
5.274116783;mulher
7.421043639;mulher
4.314141608;mulher
9.336236811;mulher
9.629879224;mulher
9.56830816;homem
7.453114728;homem
9.743384944;homem
6.171403827;mulher
3.427961171;mulher
7.698708009;homem
5.823165278;mulher
7.160901372;mulher
10.75662328;homem
12.12953291;homem
5.450131566;homem
8.92095708;homem
8.641966774;homem
9.536738608;mulher
7.991019036;homem
9.079234637;homem
8.603549113;homem
6.516806388;homem
10.12179015;homem
6.824008425;homem
7.447271321;mulher
9.32582098;homem
10.36974248;homem
9.027628695;mulher
9.859921971;homem
7.668645949;mulher
9.448092975;homem
3.990225922;mulher
11.70246893;homem
8.668290612;homem
4.47756951;mulher
6.33067797;mulher
7.2475487;mulher
9.893541303;homem
13.2035093;homem
9.199812507;homem
6.144608076;homem
8.744498279;homem
7.958534873;homem
11.57479511;homem
2.427616786;mulher
9.856237775;homem
5.935023706;homem
10.27017053;homem
7.436272726;mulher
7.231992255;homem
8.170974184;homem
4.086915164;mulher
7.706803815;mulher
5.034050865;mulher
7.294550875;homem
9.269963476;homem
6.712192243;mulher
6.099860944;mulher
7.180347243;homem
6.088490871;mulher
6.779742039;mulher
10.69987437;homem
9.35431983;homem
5.568785131;mulher
6.281621583;homem
10.76276347;mulher
9.593418675;homem
7.047597918;mulher
5.297883542;mulher
7.240526368;mulher
7.967268466;mulher
7.412679453;homem
9.43198433;mulher
5.460458947;mulher
9.365153814;homem
7.233161918;homem
7.669559708;homem
6.032126911;mulher
6.155770942;mulher
4.122272917;mulher
7.669858037;homem
7.308450501;mulher
9.779161539;homem
9.768938231;homem
8.776590649;homem
8.776869377;homem
9.982623882;homem
3.630130531;mulher
7.201029754;homem
8.326227359;homem
9.351460081;homem
4.695333067;mulher
9.10199489;homem
7.42463956;mulher
7.769264195;homem
6.084375474;mulher
11.68990649;homem
9.207121766;homem
8.017082939;homem
10.06404188;homem
8.994880976;homem
5.311785483;mulher
10.43347284;mulher
2.701414594;mulher
5.421726922;mulher
3.962207355;mulher
9.949681411;homem
10.24262847;homem
5.131864814;homem
6.72542747;mulher
5.307684667;mulher
6.136422475;mulher
6.709299977;mulher
7.258711811;homem
6.754744781;mulher
5.64056722;homem
7.355561451;homem
7.556409991;mulher
13.02691007;homem
10.14821121;homem
10.98367117;homem
5.669439573;mulher
5.344152082;homem
8.014398274;mulher
7.359754216;homem
-1.545594117;mulher
8.63825213;homem
6.815218322;mulher
9.670672647;homem
9.585889806;homem
5.84771047;mulher
8.848913843;homem
4.696699077;homem
2.124512794;mulher
3.742142906;homem
4.019657126;mulher
9.209886609;mulher
10.71978685;homem
3.500679448;mulher
6.191702143;mulher
7.246520602;homem
7.700356294;homem
11.50681548;homem
3.344309816;mulher
9.436907511;homem
7.331547023;homem
12.7197594;homem
5.730083578;mulher
10.67607224;homem
6.579536262;mulher
6.616932054;mulher
4.470963769;mulher
4.587631161;mulher
7.567804142;homem
9.421388424;mulher
5.666696867;mulher
5.694884853;mulher
11.21897407;homem
6.783067958;mulher
9.218015961;mulher
4.755403431;mulher
10.43384636;homem
5.603553181;mulher
4.010094433;mulher
8.978218353;homem
9.821568615;homem
4.567926533;mulher
7.817836791;homem
8.623197231;homem
9.817688658;mulher
5.541402971;mulher
7.076506858;homem
8.491671319;mulher
5.509401787;mulher
8.43738492;homem
8.514283526;mulher
4.338189189;mulher
4.13733605;mulher
5.496210031;mulher
5.649243072;homem
8.132940124;homem
9.96342185;mulher
8.557891077;homem
6.962320866;mulher
7.306730125;mulher
9.372228657;homem
9.043062008;homem
5.470612124;mulher
8.324903938;homem
8.204294846;homem
7.796139618;mulher
3.746143551;mulher
6.170453439;mulher
6.384211696;homem
8.070572947;mulher
9.058285771;homem
10.54057012;homem
6.045649954;homem
4.170398672;mulher
9.791669611;homem
12.25640358;homem
10.33604202;homem
10.58140795;homem
4.250149791;mulher
8.803108952;mulher
6.303927326;homem
7.499796497;mulher
4.251892789;mulher
9.438880009;mulher
9.433103043;homem
10.05509915;homem
7.695976321;homem
7.963750616;homem
7.09723132;mulher
13.35469604;homem
4.239580271;mulher
9.519523753;homem
5.407344495;mulher
6.202981726;mulher
6.984166068;mulher
7.113869071;mulher
6.41031069;homem
9.504906785;homem
4.071502017;mulher
3.963282851;mulher
5.38239769;mulher
6.944187513;mulher
9.019554798;homem
4.367893197;mulher
9.937775144;homem
11.25240393;homem
7.21327312;mulher
11.24585139;homem
11.31300235;homem
7.349952991;mulher
5.5000971;mulher
7.66053853;mulher
11.74944833;homem
8.389237925;homem
5.568000774;homem
3.773404067;mulher
6.240313802;mulher
7.276308689;homem
8.811747023;homem
3.89553686;homem
6.00467003;mulher
8.666725996;mulher
9.188101842;mulher
6.707024296;mulher
6.497994155;mulher
10.54161143;mulher
7.701947178;homem
2.403345376;mulher
9.945831839;mulher
5.80373678;mulher
7.772030145;mulher
6.847962738;mulher
6.545679195;mulher
9.146983459;homem
6.047705647;homem
8.57474696;homem
9.419634507;homem
8.128148588;homem
10.4900959;homem
8.699821372;homem
5.601720447;mulher
3.212249619;mulher
8.682328958;homem
8.572896958;homem
12.87447375;homem
5.065315861;mulher
8.612658936;homem
6.996524258;mulher
6.823335348;homem
5.801123107;mulher
6.291218866;mulher
6.938955352;mulher
6.877319804;homem
9.722860692;homem
6.84472608;mulher
4.797257041;mulher
6.66330655;homem
4.545370499;mulher
4.928292154;homem
9.945204889;homem
7.178678094;mulher
8.818021453;homem
5.766990671;mulher
10.78560584;homem
4.127431729;mulher
5.164893344;mulher
3.767546959;mulher
10.16117154;homem
6.357769758;mulher
4.59812088;mulher
6.506274861;homem
9.044259985;homem
8.639051912;homem
8.838801389;mulher
5.614467123;mulher
8.71725355;homem
8.085140803;homem
6.518218392;mulher
6.622576036;homem
5.593825024;mulher
12.02499807;homem
7.482508901;homem
9.079195609;homem
10.00656172;homem
11.09670456;homem
2.686660559;mulher
6.597093703;mulher
5.454237988;mulher
14.05163402;homem
6.896738749;homem
7.364099992;homem
8.733416425;homem
7.550623362;mulher
7.030457864;mulher
8.687062099;mulher
3.814322865;mulher
5.556330843;mulher
10.72435349;homem
6.319047197;mulher
6.144496527;mulher
10.21963865;mulher
7.198278487;homem
9.609324616;homem
11.29905486;homem
5.829562633;mulher
4.083703456;mulher
1.284887641;mulher
3.16583;mulher
3.708688175;mulher
9.908936129;homem
7.637915204;mulher
4.830705658;mulher
7.04902341;mulher
11.43659018;homem
9.358751747;homem
8.997652434;homem
3.471017442;mulher
10.34511575;homem
7.414951796;mulher
8.423776223;homem
11.33034379;homem
5.656742141;homem
4.510567485;mulher
9.167679594;homem
4.089329602;mulher
9.591693587;homem
2.403386365;mulher
13.24334189;homem
6.274043506;mulher
4.794658707;mulher
6.294009998;mulher
11.26897398;homem
2.343152209;mulher
8.112563292;homem
8.721691926;mulher
4.853606142;mulher
10.17785228;homem
4.533063156;mulher
9.861961515;homem
11.62235015;homem
4.638179543;mulher
4.473569663;mulher
8.485225996;homem
6.694225599;mulher
5.322521978;mulher
4.957739728;mulher
7.584250306;mulher
4.419089595;mulher
5.950048221;homem
1.972325274;mulher
12.23471351;homem
5.814531734;mulher
8.132659163;homem
7.919151505;mulher
9.043138975;homem
9.444357907;homem
9.294292199;homem
5.083657098;mulher
5.142093391;mulher
4.692787796;mulher
7.29326303;mulher
7.913555606;homem
7.289062153;mulher
1.816979024;mulher
4.761772943;mulher
8.398397013;homem
6.041842646;mulher
7.364300112;homem
6.541027367;homem
9.494871957;homem
5.175862476;mulher
5.657852524;mulher
6.504946226;homem
8.756129663;homem
9.190620309;homem
8.155402395;homem
2.17816444;mulher
7.176115712;mulher
7.010300145;mulher
5.762951471;mulher
3.973586718;mulher
8.019548468;mulher
5.619305756;mulher
5.048368214;mulher
5.963678633;mulher
8.489824307;homem
7.492701426;homem
10.08488562;homem
4.329319468;mulher
8.192594389;homem
6.778675948;mulher
10.88493224;homem
9.30988499;homem
7.498305079;mulher
6.09898647;mulher
7.721553688;homem
5.967419496;homem
11.57662693;homem
4.688679631;mulher
5.489643168;mulher
6.954239025;mulher
3.096096062;mulher
2.838347955;mulher
9.236262431;homem
7.8509001;homem
8.994526837;mulher
11.06541179;homem
6.973088698;homem
3.462157619;mulher
7.821867638;homem
11.44575057;homem
5.084107178;mulher
7.135646407;mulher
11.43449257;homem
4.706173741;mulher
5.871589601;mulher
9.295982446;mulher
2.880618042;mulher
9.619690089;homem
6.987908602;homem
7.923108173;homem
4.017017134;mulher
7.598248931;homem
4.861345157;mulher
6.613363079;mulher
8.328117725;homem
11.80291754;homem
7.140036831;homem
8.15189463;homem
8.355338176;homem
6.498376938;homem
4.933079237;mulher
8.150398414;homem
11.03788512;homem
11.04123066;homem
4.021540867;mulher
8.15760319;homem
6.555328629;homem
8.413617254;mulher
4.30064971;mulher
9.506487688;homem
5.280732807;mulher
9.493591628;homem
6.678556016;mulher
5.912211221;mulher
10.01436456;homem
5.100577458;mulher
8.275161701;homem
6.717327085;mulher
8.265740528;homem
5.724476289;mulher
3.4920337;mulher
9.471987092;homem
6.748331914;mulher
5.752277593;mulher
4.789828668;mulher
10.44877359;homem
8.406624724;homem
7.196564127;mulher
10.16967902;homem
12.47945843;homem
7.721532644;homem
4.863448318;mulher
10.10400812;homem
5.80739041;mulher
5.570317202;mulher
8.802815472;mulher
6.604008349;mulher
4.356698991;mulher
5.936248277;mulher
9.249893417;homem
7.759029469;mulher
9.128428498;homem
6.928081994;mulher
0.821872334;mulher
8.717772944;homem
10.68389427;homem
8.506392887;mulher
9.027466036;mulher
6.668616591;mulher
8.837510337;mulher
10.56414588;homem
5.172530573;mulher
10.14742884;homem
5.65145796;mulher
4.179541829;mulher
9.469743799;homem
6.899535584;mulher
5.454177711;mulher
3.441244064;mulher
9.295901064;homem
8.168313445;mulher
4.160153291;mulher
8.83685439;homem
6.314672807;mulher
8.066421034;homem
2.067140178;mulher
5.470247916;mulher
5.770716491;mulher
4.781078852;mulher
11.79205035;homem
7.760065979;homem
6.611698529;homem
8.947402696;homem
5.242986048;mulher
6.751573214;mulher
8.00758105;homem
5.913476271;homem
8.719428518;homem
8.419321997;mulher
5.741500169;mulher
4.375549894;homem
6.438390441;homem
9.224743311;mulher
8.82599128;homem
7.354412491;homem
4.077392786;mulher
11.12067199;homem
7.086436751;mulher
10.25158525;homem
8.277103061;mulher
9.614417464;mulher
8.053230472;homem
5.486012643;mulher
10.77845548;homem
9.743442956;homem
3.7825278;mulher
5.654936523;mulher
7.795870774;mulher
6.870400751;mulher
4.261849204;mulher
6.324813846;mulher
6.031659769;mulher
6.96750633;homem
8.562222136;homem
4.500329215;mulher
4.805421238;homem
10.06441458;mulher
7.751443547;mulher
7.259981488;mulher
6.63890085;homem
5.255190924;mulher
6.509582941;mulher
9.411346443;homem
5.351936287;homem
5.85446426;mulher
6.390945686;homem
6.215794172;mulher
9.683679388;homem
10.10597466;homem
11.37836316;mulher
8.381008805;homem
6.181147332;mulher
5.136369365;mulher
7.52628951;homem
7.490292878;homem
4.981356053;mulher
8.249658728;mulher
8.334802417;mulher
5.643446939;mulher
2.533811452;mulher
5.953230278;mulher
