,Partícula,Sensor
146,ausente,detectou
147,ausente,nao detectou
148,ausente,detectou
149,ausente,nao detectou
150,ausente,nao detectou
151,ausente,nao detectou
152,presente,nao detectou
153,presente,nao detectou
154,ausente,detectou
155,ausente,detectou
156,ausente,nao detectou
157,ausente,nao detectou
158,ausente,detectou
159,ausente,nao detectou
160,ausente,nao detectou
161,ausente,nao detectou
162,ausente,nao detectou
163,ausente,nao detectou
164,presente,nao detectou
165,ausente,nao detectou
166,presente,nao detectou
167,ausente,nao detectou
168,presente,detectou
169,ausente,detectou
170,ausente,nao detectou
171,ausente,nao detectou
172,ausente,nao detectou
173,ausente,nao detectou
174,ausente,nao detectou
175,ausente,detectou
176,ausente,nao detectou
177,presente,nao detectou
178,ausente,nao detectou
179,presente,nao detectou
180,presente,nao detectou
181,ausente,nao detectou
182,presente,detectou
183,ausente,detectou
184,ausente,nao detectou
185,ausente,detectou
186,ausente,nao detectou
187,ausente,nao detectou
188,presente,detectou
189,ausente,nao detectou
190,ausente,nao detectou
191,ausente,nao detectou
192,ausente,nao detectou
193,ausente,nao detectou
194,presente,detectou
195,ausente,nao detectou
196,ausente,nao detectou
197,ausente,nao detectou
198,ausente,nao detectou
199,ausente,detectou
200,ausente,nao detectou
201,ausente,nao detectou
202,ausente,nao detectou
203,ausente,nao detectou
204,ausente,detectou
205,ausente,nao detectou
206,presente,detectou
207,ausente,nao detectou
208,ausente,nao detectou
209,ausente,nao detectou
210,ausente,nao detectou
211,presente,detectou
212,ausente,nao detectou
213,ausente,nao detectou
214,ausente,detectou
215,presente,detectou
216,ausente,nao detectou
217,ausente,nao detectou
218,ausente,nao detectou
219,ausente,detectou
220,presente,nao detectou
221,ausente,nao detectou
222,ausente,nao detectou
223,ausente,nao detectou
224,ausente,nao detectou
225,ausente,nao detectou
226,ausente,detectou
227,ausente,nao detectou
228,presente,nao detectou
229,ausente,nao detectou
230,ausente,nao detectou
231,ausente,nao detectou
232,ausente,nao detectou
233,ausente,nao detectou
234,ausente,nao detectou
235,presente,detectou
236,ausente,detectou
237,presente,detectou
238,presente,detectou
239,ausente,nao detectou
240,presente,nao detectou
241,ausente,nao detectou
242,ausente,nao detectou
243,ausente,nao detectou
244,ausente,nao detectou
245,ausente,nao detectou
246,presente,detectou
247,ausente,nao detectou
248,ausente,nao detectou
249,presente,detectou
250,ausente,nao detectou
251,ausente,nao detectou
252,presente,nao detectou
253,ausente,nao detectou
254,presente,nao detectou
255,ausente,detectou
256,ausente,detectou
257,presente,detectou
258,ausente,nao detectou
259,ausente,detectou
260,ausente,nao detectou
261,ausente,nao detectou
262,ausente,nao detectou
263,ausente,nao detectou
264,ausente,detectou
265,ausente,detectou
266,presente,detectou
267,ausente,nao detectou
268,ausente,nao detectou
269,ausente,nao detectou
270,ausente,detectou
271,ausente,detectou
272,ausente,nao detectou
273,ausente,nao detectou
274,ausente,nao detectou
275,presente,detectou
276,ausente,detectou
277,ausente,nao detectou
278,ausente,nao detectou
279,ausente,nao detectou
280,ausente,nao detectou
281,ausente,nao detectou
282,presente,detectou
283,ausente,nao detectou
284,ausente,nao detectou
285,ausente,nao detectou
286,ausente,nao detectou
287,ausente,nao detectou
288,ausente,nao detectou
289,ausente,nao detectou
290,ausente,nao detectou
291,ausente,nao detectou
292,ausente,nao detectou
293,ausente,detectou
294,ausente,nao detectou
295,ausente,nao detectou
296,ausente,nao detectou
297,ausente,nao detectou
298,ausente,nao detectou
299,ausente,detectou
300,ausente,detectou
301,ausente,nao detectou
302,ausente,nao detectou
303,ausente,nao detectou
304,ausente,nao detectou
305,ausente,nao detectou
306,ausente,nao detectou
307,ausente,nao detectou
308,ausente,nao detectou
309,ausente,nao detectou
310,ausente,nao detectou
311,ausente,nao detectou
312,ausente,detectou
313,ausente,nao detectou
314,ausente,detectou
315,ausente,nao detectou
316,ausente,nao detectou
317,ausente,nao detectou
318,ausente,nao detectou
319,ausente,nao detectou
320,ausente,nao detectou
321,ausente,nao detectou
322,ausente,nao detectou
323,ausente,nao detectou
324,ausente,nao detectou
325,ausente,nao detectou
326,ausente,nao detectou
327,ausente,nao detectou
328,ausente,nao detectou
329,presente,detectou
330,presente,detectou
331,ausente,nao detectou
332,ausente,nao detectou
333,ausente,nao detectou
334,ausente,nao detectou
335,ausente,nao detectou
336,ausente,nao detectou
337,ausente,nao detectou
338,ausente,nao detectou
339,ausente,nao detectou
340,ausente,detectou
341,ausente,nao detectou
342,ausente,detectou
343,ausente,detectou
344,presente,detectou
345,ausente,nao detectou
346,ausente,detectou
347,ausente,nao detectou
348,ausente,nao detectou
349,presente,detectou
350,ausente,nao detectou
351,ausente,detectou
352,presente,nao detectou
353,ausente,nao detectou
354,ausente,nao detectou
355,ausente,nao detectou
356,ausente,nao detectou
357,ausente,nao detectou
358,ausente,nao detectou
359,ausente,detectou
360,presente,detectou
361,ausente,nao detectou
362,ausente,nao detectou
363,ausente,nao detectou
364,ausente,nao detectou
365,ausente,nao detectou
366,ausente,nao detectou
367,ausente,nao detectou
368,presente,detectou
369,presente,detectou
370,presente,detectou
371,ausente,nao detectou
372,ausente,nao detectou
373,presente,detectou
374,presente,detectou
375,ausente,nao detectou
376,presente,nao detectou
377,ausente,nao detectou
378,ausente,nao detectou
379,ausente,nao detectou
380,ausente,nao detectou
381,ausente,nao detectou
382,ausente,nao detectou
383,ausente,nao detectou
384,ausente,nao detectou
385,ausente,nao detectou
386,ausente,nao detectou
387,ausente,nao detectou
388,ausente,nao detectou
389,ausente,detectou
390,ausente,nao detectou
391,presente,detectou
392,ausente,nao detectou
393,ausente,nao detectou
394,ausente,nao detectou
395,ausente,detectou
396,ausente,nao detectou
397,ausente,nao detectou
398,ausente,nao detectou
399,ausente,nao detectou
400,ausente,nao detectou
401,ausente,nao detectou
402,ausente,nao detectou
403,ausente,nao detectou
404,ausente,detectou
405,ausente,nao detectou
406,ausente,nao detectou
407,ausente,nao detectou
408,ausente,detectou
409,presente,detectou
410,ausente,nao detectou
411,ausente,nao detectou
412,ausente,detectou
413,ausente,nao detectou
414,ausente,nao detectou
415,ausente,nao detectou
416,ausente,nao detectou
417,ausente,nao detectou
418,ausente,nao detectou
419,ausente,nao detectou
420,ausente,nao detectou
421,ausente,nao detectou
422,ausente,nao detectou
423,ausente,nao detectou
424,presente,nao detectou
425,ausente,nao detectou
426,presente,detectou
427,presente,nao detectou
428,ausente,nao detectou
429,ausente,nao detectou
430,ausente,nao detectou
431,ausente,nao detectou
432,presente,detectou
433,ausente,nao detectou
434,ausente,nao detectou
435,presente,detectou
436,ausente,nao detectou
437,presente,detectou
438,ausente,nao detectou
439,ausente,nao detectou
440,ausente,nao detectou
441,ausente,nao detectou
442,presente,detectou
443,ausente,nao detectou
444,presente,nao detectou
445,ausente,detectou
446,presente,detectou
447,presente,detectou
448,ausente,nao detectou
449,ausente,nao detectou
450,ausente,nao detectou
451,ausente,nao detectou
452,ausente,detectou
453,ausente,nao detectou
454,ausente,nao detectou
455,ausente,nao detectou
456,ausente,nao detectou
457,ausente,nao detectou
458,ausente,detectou
459,presente,detectou
460,ausente,nao detectou
461,ausente,nao detectou
462,ausente,detectou
463,ausente,nao detectou
464,ausente,nao detectou
465,ausente,nao detectou
466,ausente,nao detectou
467,ausente,nao detectou
468,ausente,detectou
469,presente,nao detectou
470,presente,detectou
471,presente,detectou
472,presente,nao detectou
473,ausente,nao detectou
474,ausente,nao detectou
475,ausente,nao detectou
476,ausente,nao detectou
477,ausente,nao detectou
478,ausente,nao detectou
479,ausente,nao detectou
480,ausente,nao detectou
481,presente,detectou
482,ausente,nao detectou
483,ausente,nao detectou
484,ausente,detectou
485,ausente,nao detectou
486,ausente,nao detectou
487,ausente,nao detectou
488,ausente,nao detectou
489,presente,detectou
490,ausente,nao detectou
491,ausente,nao detectou
492,ausente,nao detectou
493,ausente,nao detectou
494,ausente,nao detectou
495,ausente,nao detectou
496,ausente,nao detectou
497,ausente,nao detectou
498,ausente,nao detectou
499,ausente,nao detectou
500,ausente,nao detectou
501,ausente,nao detectou
502,ausente,nao detectou
503,ausente,nao detectou
504,presente,detectou
505,presente,nao detectou
506,ausente,nao detectou
507,ausente,nao detectou
508,ausente,detectou
509,ausente,nao detectou
510,ausente,nao detectou
511,presente,detectou
512,ausente,nao detectou
513,ausente,nao detectou
514,presente,nao detectou
515,ausente,nao detectou
516,presente,detectou
517,ausente,nao detectou
518,ausente,nao detectou
519,presente,nao detectou
520,ausente,nao detectou
521,ausente,detectou
522,ausente,nao detectou
523,ausente,nao detectou
524,ausente,nao detectou
525,ausente,detectou
526,ausente,nao detectou
527,presente,detectou
528,presente,detectou
529,ausente,nao detectou
530,ausente,nao detectou
531,presente,detectou
532,presente,nao detectou
533,ausente,nao detectou
534,presente,detectou
535,ausente,nao detectou
536,presente,nao detectou
537,ausente,nao detectou
538,ausente,nao detectou
539,ausente,detectou
540,ausente,nao detectou
541,ausente,nao detectou
542,ausente,detectou
543,presente,detectou
544,ausente,nao detectou
545,ausente,nao detectou
546,presente,detectou
547,ausente,detectou
548,ausente,nao detectou
549,ausente,nao detectou
550,ausente,nao detectou
551,presente,nao detectou
552,ausente,detectou
553,ausente,nao detectou
554,ausente,nao detectou
555,ausente,nao detectou
556,presente,detectou
557,ausente,nao detectou
558,ausente,nao detectou
559,ausente,nao detectou
560,ausente,nao detectou
561,ausente,nao detectou
562,ausente,nao detectou
563,ausente,detectou
564,ausente,nao detectou
565,ausente,nao detectou
566,ausente,nao detectou
567,ausente,nao detectou
568,ausente,detectou
569,presente,nao detectou
570,ausente,nao detectou
571,presente,detectou
572,ausente,nao detectou
573,ausente,nao detectou
574,presente,nao detectou
575,ausente,nao detectou
576,ausente,detectou
577,ausente,nao detectou
578,ausente,detectou
579,ausente,nao detectou
580,ausente,nao detectou
581,ausente,detectou
582,ausente,nao detectou
583,ausente,nao detectou
584,ausente,nao detectou
585,ausente,nao detectou
586,presente,detectou
587,ausente,nao detectou
588,ausente,nao detectou
589,ausente,nao detectou
590,ausente,detectou
591,ausente,nao detectou
592,ausente,nao detectou
593,ausente,detectou
594,presente,detectou
595,ausente,nao detectou
596,ausente,nao detectou
597,ausente,nao detectou
598,ausente,nao detectou
599,ausente,detectou
600,presente,nao detectou
601,ausente,nao detectou
602,ausente,nao detectou
603,ausente,nao detectou
604,ausente,nao detectou
605,ausente,nao detectou
606,ausente,nao detectou
607,ausente,nao detectou
608,ausente,nao detectou
609,ausente,nao detectou
610,ausente,nao detectou
611,ausente,nao detectou
612,ausente,nao detectou
613,ausente,nao detectou
614,presente,detectou
615,ausente,nao detectou
616,ausente,nao detectou
617,ausente,nao detectou
618,ausente,nao detectou
619,presente,nao detectou
620,ausente,detectou
621,ausente,nao detectou
622,ausente,nao detectou
623,ausente,nao detectou
624,ausente,nao detectou
625,ausente,nao detectou
626,ausente,nao detectou
627,ausente,nao detectou
628,ausente,nao detectou
629,ausente,detectou
630,presente,nao detectou
631,ausente,nao detectou
632,presente,nao detectou
633,presente,detectou
634,ausente,nao detectou
635,ausente,nao detectou
636,ausente,nao detectou
637,presente,detectou
638,ausente,detectou
639,ausente,nao detectou
640,ausente,detectou
641,ausente,nao detectou
642,ausente,detectou
643,ausente,nao detectou
644,presente,detectou
645,ausente,nao detectou
646,ausente,nao detectou
647,presente,detectou
648,presente,nao detectou
649,ausente,nao detectou
650,presente,detectou
651,ausente,nao detectou
652,ausente,nao detectou
653,ausente,nao detectou
654,ausente,nao detectou
655,ausente,nao detectou
656,ausente,nao detectou
657,ausente,nao detectou
658,ausente,nao detectou
659,ausente,nao detectou
660,ausente,nao detectou
661,ausente,nao detectou
662,ausente,nao detectou
663,presente,detectou
664,ausente,nao detectou
665,ausente,nao detectou
666,presente,detectou
667,ausente,nao detectou
668,presente,detectou
669,ausente,detectou
670,ausente,nao detectou
671,ausente,nao detectou
672,presente,nao detectou
673,ausente,nao detectou
674,ausente,nao detectou
675,presente,nao detectou
676,ausente,detectou
677,ausente,detectou
678,ausente,nao detectou
679,ausente,nao detectou
680,presente,detectou
681,ausente,nao detectou
682,ausente,nao detectou
683,ausente,nao detectou
684,ausente,nao detectou
685,ausente,nao detectou
686,ausente,nao detectou
687,ausente,nao detectou
688,ausente,nao detectou
689,ausente,nao detectou
690,ausente,nao detectou
691,ausente,nao detectou
692,ausente,nao detectou
693,ausente,nao detectou
694,ausente,nao detectou
695,ausente,detectou
696,ausente,nao detectou
697,ausente,nao detectou
698,ausente,nao detectou
699,ausente,nao detectou
700,presente,nao detectou
701,ausente,detectou
702,ausente,nao detectou
703,ausente,nao detectou
704,presente,detectou
705,ausente,detectou
706,ausente,nao detectou
707,ausente,nao detectou
708,ausente,nao detectou
709,ausente,nao detectou
710,ausente,nao detectou
711,ausente,nao detectou
712,presente,nao detectou
713,ausente,nao detectou
714,ausente,detectou
715,ausente,detectou
716,ausente,nao detectou
717,presente,detectou
718,ausente,nao detectou
719,ausente,nao detectou
720,presente,nao detectou
721,ausente,nao detectou
722,ausente,detectou
723,ausente,nao detectou
724,ausente,nao detectou
725,ausente,nao detectou
726,presente,nao detectou
727,ausente,nao detectou
728,presente,detectou
729,ausente,nao detectou
730,ausente,nao detectou
731,ausente,nao detectou
732,ausente,nao detectou
733,ausente,nao detectou
734,ausente,nao detectou
735,ausente,nao detectou
736,ausente,nao detectou
737,ausente,nao detectou
738,ausente,nao detectou
739,presente,nao detectou
740,ausente,nao detectou
741,ausente,nao detectou
742,ausente,nao detectou
743,presente,detectou
744,ausente,nao detectou
745,ausente,nao detectou
746,ausente,nao detectou
747,presente,detectou
748,ausente,detectou
749,ausente,nao detectou
750,presente,nao detectou
751,presente,detectou
752,ausente,nao detectou
753,ausente,nao detectou
754,ausente,nao detectou
755,ausente,nao detectou
756,ausente,nao detectou
757,ausente,nao detectou
758,ausente,nao detectou
759,ausente,detectou
760,ausente,nao detectou
761,ausente,nao detectou
762,ausente,nao detectou
763,ausente,nao detectou
764,ausente,detectou
765,ausente,nao detectou
766,ausente,nao detectou
767,ausente,nao detectou
768,ausente,nao detectou
769,ausente,nao detectou
770,ausente,nao detectou
771,ausente,nao detectou
772,ausente,nao detectou
773,ausente,nao detectou
774,ausente,nao detectou
775,ausente,nao detectou
776,ausente,nao detectou
777,ausente,nao detectou
778,ausente,nao detectou
779,presente,nao detectou
780,ausente,nao detectou
781,ausente,nao detectou
782,ausente,nao detectou
783,presente,nao detectou
784,ausente,nao detectou
785,presente,detectou
786,ausente,nao detectou
787,presente,detectou
788,ausente,nao detectou
789,ausente,nao detectou
790,ausente,nao detectou
791,ausente,detectou
792,ausente,nao detectou
793,ausente,detectou
794,ausente,nao detectou
795,ausente,nao detectou
796,ausente,nao detectou
797,ausente,nao detectou
798,ausente,detectou
799,ausente,detectou
800,presente,nao detectou
801,ausente,nao detectou
802,ausente,detectou
803,ausente,nao detectou
804,ausente,nao detectou
805,ausente,nao detectou
806,ausente,nao detectou
807,presente,detectou
808,ausente,nao detectou
809,ausente,nao detectou
810,ausente,nao detectou
811,ausente,nao detectou
812,ausente,detectou
813,ausente,nao detectou
814,ausente,nao detectou
815,ausente,nao detectou
816,ausente,nao detectou
817,ausente,nao detectou
818,ausente,nao detectou
819,presente,nao detectou
820,ausente,nao detectou
821,ausente,nao detectou
822,ausente,nao detectou
823,ausente,nao detectou
824,ausente,nao detectou
825,ausente,nao detectou
826,ausente,nao detectou
827,ausente,detectou
828,presente,detectou
829,ausente,nao detectou
830,ausente,nao detectou
831,ausente,nao detectou
832,ausente,detectou
833,presente,detectou
834,ausente,nao detectou
835,ausente,nao detectou
836,ausente,nao detectou
837,ausente,nao detectou
838,ausente,nao detectou
839,ausente,nao detectou
840,ausente,nao detectou
841,presente,detectou
842,ausente,nao detectou
843,ausente,nao detectou
844,ausente,nao detectou
845,ausente,nao detectou
846,ausente,detectou
847,ausente,nao detectou
848,ausente,nao detectou
849,ausente,nao detectou
850,ausente,nao detectou
851,ausente,nao detectou
852,ausente,nao detectou
853,ausente,nao detectou
854,ausente,nao detectou
855,presente,detectou
856,ausente,nao detectou
857,ausente,nao detectou
858,ausente,detectou
859,presente,nao detectou
860,ausente,nao detectou
861,presente,nao detectou
862,ausente,nao detectou
863,ausente,nao detectou
864,ausente,nao detectou
865,presente,detectou
866,ausente,detectou
867,ausente,nao detectou
868,ausente,nao detectou
869,ausente,nao detectou
870,ausente,detectou
871,ausente,detectou
872,presente,detectou
873,ausente,nao detectou
874,ausente,nao detectou
875,ausente,nao detectou
876,ausente,nao detectou
877,ausente,nao detectou
878,ausente,nao detectou
879,presente,detectou
880,ausente,nao detectou
881,ausente,nao detectou
882,ausente,nao detectou
883,ausente,nao detectou
884,ausente,nao detectou
885,presente,detectou
886,ausente,nao detectou
887,presente,detectou
888,ausente,detectou
889,presente,nao detectou
890,ausente,nao detectou
891,ausente,detectou
892,ausente,nao detectou
893,ausente,detectou
894,ausente,nao detectou
895,ausente,nao detectou
896,ausente,nao detectou
897,ausente,nao detectou
898,ausente,detectou
899,ausente,nao detectou
900,ausente,nao detectou
901,ausente,nao detectou
902,ausente,detectou
903,presente,detectou
904,ausente,nao detectou
905,presente,nao detectou
906,ausente,nao detectou
907,presente,nao detectou
908,ausente,nao detectou
909,ausente,nao detectou
910,ausente,nao detectou
911,ausente,nao detectou
912,ausente,nao detectou
913,ausente,nao detectou
914,ausente,nao detectou
915,presente,nao detectou
916,ausente,nao detectou
917,presente,nao detectou
918,ausente,nao detectou
919,ausente,nao detectou
920,ausente,nao detectou
921,ausente,nao detectou
922,ausente,nao detectou
923,presente,nao detectou
924,ausente,nao detectou
925,ausente,nao detectou
926,presente,detectou
927,ausente,nao detectou
928,ausente,nao detectou
929,ausente,nao detectou
930,presente,detectou
931,ausente,nao detectou
932,presente,detectou
933,ausente,nao detectou
934,presente,detectou
935,ausente,nao detectou
936,ausente,detectou
937,ausente,nao detectou
938,ausente,nao detectou
939,ausente,detectou
940,ausente,nao detectou
941,ausente,nao detectou
942,ausente,nao detectou
943,ausente,nao detectou
944,ausente,nao detectou
945,ausente,nao detectou
946,ausente,nao detectou
947,presente,detectou
948,presente,detectou
949,ausente,nao detectou
950,ausente,nao detectou
951,ausente,nao detectou
952,presente,nao detectou
953,ausente,nao detectou
954,presente,detectou
955,ausente,nao detectou
956,ausente,detectou
957,ausente,nao detectou
958,ausente,nao detectou
959,ausente,nao detectou
960,ausente,nao detectou
961,ausente,detectou
962,ausente,nao detectou
963,ausente,nao detectou
964,ausente,nao detectou
965,ausente,nao detectou
966,ausente,nao detectou
967,ausente,detectou
968,ausente,nao detectou
969,ausente,nao detectou
970,presente,detectou
971,ausente,nao detectou
972,ausente,nao detectou
973,presente,detectou
974,ausente,nao detectou
975,ausente,nao detectou
976,ausente,nao detectou
977,presente,nao detectou
978,presente,detectou
979,ausente,detectou
980,presente,detectou
981,ausente,nao detectou
982,ausente,nao detectou
983,ausente,nao detectou
984,presente,detectou
985,ausente,nao detectou
986,presente,detectou
987,ausente,nao detectou
988,ausente,nao detectou
989,ausente,nao detectou
990,ausente,detectou
991,ausente,nao detectou
992,presente,detectou
993,ausente,nao detectou
994,ausente,nao detectou
995,presente,detectou
996,ausente,nao detectou
997,ausente,nao detectou
998,ausente,nao detectou
999,ausente,nao detectou
1000,presente,detectou
1001,ausente,nao detectou
1002,ausente,nao detectou
1003,ausente,nao detectou
1004,ausente,nao detectou
1005,ausente,nao detectou
1006,ausente,nao detectou
1007,ausente,nao detectou
1008,ausente,nao detectou
1009,ausente,detectou
1010,ausente,nao detectou
1011,presente,detectou
1012,ausente,nao detectou
1013,ausente,detectou
1014,presente,nao detectou
1015,ausente,detectou
1016,ausente,nao detectou
1017,presente,detectou
1018,ausente,nao detectou
1019,ausente,nao detectou
1020,ausente,nao detectou
1021,presente,detectou
1022,ausente,detectou
1023,ausente,nao detectou
1024,presente,detectou
1025,ausente,nao detectou
1026,presente,nao detectou
1027,presente,nao detectou
1028,presente,detectou
1029,ausente,nao detectou
1030,presente,detectou
1031,ausente,nao detectou
1032,ausente,nao detectou
1033,ausente,nao detectou
1034,ausente,nao detectou
1035,presente,nao detectou
1036,ausente,nao detectou
1037,ausente,nao detectou
1038,presente,detectou
1039,ausente,detectou
1040,ausente,nao detectou
1041,presente,nao detectou
1042,ausente,nao detectou
1043,ausente,nao detectou
1044,ausente,nao detectou
1045,ausente,nao detectou
1046,ausente,nao detectou
1047,ausente,nao detectou
1048,ausente,nao detectou
1049,ausente,nao detectou
1050,ausente,nao detectou
1051,ausente,nao detectou
1052,ausente,detectou
1053,ausente,detectou
1054,ausente,nao detectou
1055,ausente,nao detectou
1056,ausente,nao detectou
1057,presente,detectou
1058,ausente,nao detectou
1059,ausente,nao detectou
1060,ausente,nao detectou
1061,ausente,nao detectou
1062,ausente,nao detectou
1063,presente,nao detectou
1064,ausente,nao detectou
1065,ausente,nao detectou
1066,ausente,nao detectou
1067,ausente,nao detectou
1068,ausente,nao detectou
1069,presente,detectou
1070,ausente,nao detectou
1071,presente,detectou
1072,presente,detectou
1073,ausente,nao detectou
1074,ausente,nao detectou
1075,ausente,nao detectou
1076,presente,detectou
1077,ausente,nao detectou
1078,presente,nao detectou
1079,ausente,nao detectou
1080,ausente,nao detectou
1081,ausente,nao detectou
1082,presente,detectou
1083,ausente,nao detectou
1084,ausente,nao detectou
1085,ausente,nao detectou
1086,ausente,nao detectou
1087,ausente,nao detectou
1088,ausente,nao detectou
1089,presente,detectou
1090,ausente,nao detectou
1091,ausente,nao detectou
1092,ausente,nao detectou
1093,ausente,nao detectou
1094,ausente,nao detectou
1095,ausente,nao detectou
1096,ausente,nao detectou
1097,ausente,detectou
1098,ausente,nao detectou
1099,ausente,detectou
1100,ausente,nao detectou
1101,presente,detectou
1102,ausente,nao detectou
1103,ausente,nao detectou
1104,ausente,detectou
1105,presente,detectou
1106,ausente,nao detectou
1107,ausente,nao detectou
1108,ausente,nao detectou
1109,ausente,nao detectou
1110,presente,detectou
1111,ausente,nao detectou
1112,ausente,nao detectou
1113,ausente,nao detectou
1114,ausente,nao detectou
1115,ausente,nao detectou
1116,ausente,nao detectou
1117,ausente,nao detectou
1118,ausente,nao detectou
1119,ausente,nao detectou
1120,presente,detectou
1121,ausente,nao detectou
1122,ausente,nao detectou
1123,ausente,nao detectou
1124,ausente,nao detectou
1125,presente,detectou
1126,presente,nao detectou
1127,ausente,nao detectou
1128,ausente,nao detectou
1129,ausente,nao detectou
1130,ausente,nao detectou
1131,ausente,detectou
1132,ausente,nao detectou
1133,presente,detectou
1134,presente,nao detectou
1135,ausente,nao detectou
1136,ausente,nao detectou
1137,ausente,nao detectou
1138,ausente,detectou
1139,ausente,nao detectou
1140,ausente,nao detectou
1141,ausente,nao detectou
1142,ausente,nao detectou
1143,ausente,nao detectou
1144,presente,detectou
1145,ausente,nao detectou
1146,ausente,nao detectou
1147,presente,nao detectou
1148,ausente,detectou
1149,presente,nao detectou
1150,ausente,nao detectou
1151,ausente,nao detectou
1152,presente,detectou
1153,presente,detectou
1154,presente,nao detectou
1155,ausente,nao detectou
1156,ausente,detectou
1157,ausente,nao detectou
1158,ausente,nao detectou
1159,ausente,nao detectou
1160,ausente,nao detectou
1161,ausente,nao detectou
1162,ausente,nao detectou
1163,ausente,nao detectou
1164,ausente,nao detectou
1165,ausente,nao detectou
1166,ausente,nao detectou
1167,ausente,nao detectou
1168,ausente,detectou
1169,ausente,nao detectou
1170,ausente,nao detectou
1171,presente,detectou
1172,presente,detectou
1173,ausente,nao detectou
1174,ausente,nao detectou
1175,ausente,nao detectou
1176,ausente,detectou
1177,ausente,nao detectou
1178,ausente,detectou
1179,ausente,nao detectou
1180,ausente,nao detectou
1181,ausente,nao detectou
1182,ausente,detectou
1183,ausente,nao detectou
1184,ausente,nao detectou
1185,ausente,nao detectou
1186,ausente,nao detectou
1187,ausente,nao detectou
1188,ausente,nao detectou
1189,ausente,detectou
1190,presente,nao detectou
1191,ausente,detectou
1192,ausente,detectou
1193,presente,detectou
1194,ausente,nao detectou
1195,ausente,nao detectou
1196,ausente,nao detectou
1197,ausente,nao detectou
1198,ausente,nao detectou
1199,ausente,nao detectou
1200,ausente,nao detectou
1201,ausente,nao detectou
1202,ausente,nao detectou
1203,presente,detectou
1204,ausente,nao detectou
1205,ausente,nao detectou
1206,ausente,nao detectou
1207,presente,nao detectou
1208,ausente,nao detectou
1209,ausente,detectou
1210,ausente,nao detectou
1211,ausente,nao detectou
1212,ausente,nao detectou
